Program Session,Major,Curriculum,Class,Subject,Cr,Room,Sched. Time
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Introduction to Agricultural Mechanical Engineering,3.0,B306,Mon3
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Agribusiness Innovation Management,3.0,B409,Thu3
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Academic Writing,0.0,B203,Tue5
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Academic Writing,0.0,B411,Wed4
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Remote Sensing and Spatial Planning,2.0,B302,Wed4
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Data Analytics for Agribusiness,2.0,B210,Mon5
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Food System,3.0,B206,Thu3
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Regional Planning and Development,2.0,B409,Mon1
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Agricultural Economic,2.0,B304,Mon3
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Food Enterpreneurship,3.0,B210,Fri2
M,PS_AB,AB-2023,M AB-2023 Smart-Agri Innovation,Microeconomics,3.0,B404,Fri5
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Microeconomics,3.0,B104,Mon4
M,PS_AB,AB-2024,M AB-2024 AB-2024,Agribusiness Marketing,3.0,B108,Mon3
M,PS_AB,AB-2024,M AB-2024 AB-2024,Mathematics,3.0,B407,Thu5
M,PS_AB,AB-2024,M AB-2024 AB-2024,Survival English,0.0,B404,Tue3
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Perspective of Tourism,2.0,B105,Thu5
M,PS_AB,AB-2023,M AB-2023 Food Tech & Agrotourism,Agricultural Economic,2.0,B311,Mon3
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Architectural Heritage,2.0,C203 (Architecture Laboratory) (PUCC),Tue1
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Urban Architecture,2.0,C203 (Architecture Laboratory) (PUCC),Wed2
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Landscape Design,3.0,C204 (Architecture Laboratory) (PUCC),Wed2
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Building Construction 1,3.0,C203 (Architecture Laboratory) (PUCC),Mon1
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Basic Design Principles,3.0,C203 (Architecture Laboratory) (PUCC),Mon3
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Architecture Design Studio 1,6.0,C203 (Architecture Laboratory) (PUCC),Mon5
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,History of Architecture,3.0,C203 (Architecture Laboratory) (PUCC),Fri1
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Introduction to Architecture,2.0,C203 (Architecture Laboratory) (PUCC),Thu1
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Economic Survival 1: Business Creation / Internship Experience,3.0,C203 (Architecture Laboratory) (PUCC),Tue4
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Architecture Design Studio 3,6.0,C203 (Architecture Laboratory) (PUCC),Thu2
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Architecture Basic Design Studio 1,4.0,C204 (Architecture Laboratory) (PUCC),Wed3
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Architectural Drawing,3.0,C204 (Architecture Laboratory) (PUCC),Thu3
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Urban Design,3.0,C203 (Architecture Laboratory) (PUCC),Wed3
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Building Utilities,2.0,C204 (Architecture Laboratory) (PUCC),Wed4
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Architectural Research Method,2.0,C204 (Architecture Laboratory) (PUCC),Mon5
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Architectural Behavior and Environment,2.0,C203 (Architecture Laboratory) (PUCC),Tue5
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Ethics in Architecture,3.0,C204 (Architecture Laboratory) (PUCC),Tue1
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Project Management,2.0,C203 (Architecture Laboratory) (PUCC),Mon2
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Architecture Basic Design Studio 1 (Studio),0.0,C204 (Architecture Laboratory) (PUCC),Thu5
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Architecture Design Studio 1 (Studio),0.0,C204 (Architecture Laboratory) (PUCC),Wed1
M,PS_AR,ARC-2024,M ARC-2024 ARC 2024,Survival English,0.0,C203 (Architecture Laboratory) (PUCC),Tue2
M,PS_AR,ARC-2022,M ARC-2022 ARC 2022,Architecture Design Studio 3 (Studio),0.0,C204 (Architecture Laboratory) (PUCC),Fri2
M,PS_AR,ARC-2023,M ARC-2023 ARC 2023,Academic Writing,0.0,C203 (Architecture Laboratory) (PUCC),Mon4
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Auditing 1,3.0,B202,Thu1
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Auditing 1,3.0,B205,Wed4
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Auditing 1,3.0,B406,Thu5
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Tax Auditing,3.0,B102,Wed2
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,International Tax/Transfer Pricing,3.0,B304,Mon4
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Economic Survival 1: Business Creation / Internship Experience,3.0,B201,Thu5
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Economic Survival 1: Business Creation / Internship Experience,3.0,B301,Fri4
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Economic Survival 1: Business Creation / Internship Experience,3.0,B401,Mon1
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Principle of Accounting 1,3.0,B408,Mon3
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Principle of Accounting 1,3.0,B209,Fri2
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Principle of Accounting 1,3.0,B302,Thu4
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Principles of Accounting 2,3.0,B403,Wed2
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Auditing 1,3.0,B304,Thu5
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Managerial Accounting,3.0,B303,Wed4
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Cost Accounting,3.0,B302,Mon5
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Managerial Accounting,3.0,B404,Tue2
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Managerial Accounting,3.0,A420,Tue2
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Cost Accounting,3.0,B411,Thu2
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Intermediate Accounting 2,3.0,B206,Mon4
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Intermediate Accounting 2,3.0,B405,Fri2
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Intermediate Accounting 2,3.0,B307,Mon4
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Economic Survival 1: Business Creation / Internship Experience,3.0,B403,Tue1
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Principle of Accounting 1,3.0,B407,Tue5
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Principles of Accounting 2,3.0,B408,Fri1
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Introduction to Business,3.0,B304,Fri1
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Economics (Macro/Micro),3.0,B204,Tue5
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Accounting Professional Ethics,3.0,B407,Wed1
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Principles of Accounting 2,3.0,B407,Mon4
M,PS_Ak,ACC-2024,M ACC-2024 Class-4,Survival English,0.0,B310,Thu4
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Managerial Accounting,3.0,B101,Wed4
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Principles of Accounting 2,3.0,B211,Thu2
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Intermediate Accounting 2,3.0,B410,Tue4
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Survival English,0.0,B403,Fri2
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Academic Writing,0.0,B102,Thu2
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Introduction to Business,3.0,B205,Wed5
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Introduction to Business,3.0,B308,Thu3
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Introduction to Business,3.0,A420,Thu3
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Economics (Macro/Micro),3.0,B204,Mon1
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Economics (Macro/Micro),3.0,B205,Wed2
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Economics (Macro/Micro),3.0,B201,Wed4
M,PS_Ak,ACC-2024,M ACC-2024 Class-1,Accounting Professional Ethics,3.0,B308,Fri5
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Accounting Professional Ethics,3.0,B303,Wed1
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Accounting Professional Ethics,3.0,A420,Mon5
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Equity,3.0,B210,Mon4
M,PS_Ak,ACC-2023,M ACC-2023 Capital Market,Derivatives/Fixed Income,3.0,B209,Wed3
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Tax Auditing,3.0,B307,Fri4
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Tax Auditing,3.0,B208,Mon4
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Risk Based Auditing,3.0,B105,Tue3
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Risk Based Auditing,3.0,B411,Fri5
M,PS_Ak,ACC-2022,M ACC-2022 Class-1,Advanced Cost Accounting,3.0,B205,Tue1
M,PS_Ak,ACC-2022,M ACC-2022 Class-3,Advanced Cost Accounting,3.0,B102,Tue5
M,PS_Ak,ACC-2022,M ACC-2022 Class-2,Advanced Cost Accounting,3.0,B311,Mon5
M,PS_Ak,ACC-2023,M ACC-2023 Taxation,Academic Writing,0.0,B302,Thu2
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Academic Writing,0.0,B104,Tue1
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Academic Writing,0.0,B405,Mon1
M,PS_Ak,ACC-2024,M ACC-2024 Class-3,Survival English,0.0,B204,Thu2
M,PS_Ak,ACC-2023,M ACC-2023 Auditing2,Cost Accounting,3.0,B207,Wed5
M,PS_Ak,ACC-2023,M ACC-2023 Auditing1,Cost Accounting,3.0,B308,Mon2
M,PS_Ak,ACC-2024,M ACC-2024 Class-2,Survival English,0.0,B103,Mon5
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Survival English,0.0,B102,Tue2
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Accounting for Decision Making,3.0,B404,Fri1
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Survival English,0.0,B209,Wed5
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Accounting for Decision Making,3.0,B308,Mon5
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Introduction to Business,3.0,B411,Tue1
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Introduction to Business,3.0,B102,Tue4
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Digital  Literacy,3.0,B204,Tue2
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Digital  Literacy,3.0,B304,Wed5
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Economic Survival 1: Business Creation / Internship Experience,3.0,B306,Tue2
M,PS_BA,BA-2023,M BA-2023 HOSPITALITY AND TOURISM BUSINESS,Academic Writing,0.0,B207,Wed1
M,PS_BA,BA-2023,M BA-2023 GLOBAL BUSINESS,Academic Writing,0.0,B310,Tue4
M,PS_BA,BA-2023,M BA-2023 DIGITAL BUSINESS,Academic Writing,0.0,B406,Fri4
M,PS_BA,BA-2024,M BA-2024 CLASS 3,Survival English,0.0,B203,Wed2
M,PS_BA,BA-2024,M BA-2024 CLASS 2,Survival English,0.0,B404,Thu5
